 ,X,Y
1,257,244
2,294,195
3,186,126
4,158,170
5,158,181
6,145,269
7,246,363
8,255,352
9,283,415
10,342,387
11,366,341
12,345,325
13,396,248
14,105,307
15,442,226
16,468,282
17,493,177
18,56,386
19,10,387
20,85,463
21,259,511
22,270,461
23,241,493
24,450,444
25,341,215
26,83,194
27,206,305
28,96,352
29,249,274
30,428,213
31,10,458
32,89,498
33,238,327
34,94,273
35,54,235
36,236,425
37,90,420
38,435,347
39,237,110
40,279,217
41,266,370
42,369,434
43,318,459
44,18,498
