 ,X,Y
1,192,237
2,195,169
3,294,121
4,335,128
5,336,88
6,381,26
7,419,59
8,436,52
9,456,37
10,373,159
11,394,172
12,421,182
13,474,188
14,401,224
15,363,200
16,416,252
17,403,261
18,452,264
19,454,251
20,438,283
21,386,361
22,332,374
23,331,384
24,189,359
25,184,324
26,136,317
27,126,323
28,110,300
29,90,288
30,98,272
31,126,275
32,126,259
33,242,291
34,242,331
35,271,308
36,271,295
37,301,230
38,265,237
39,238,240
40,266,183
41,150,425
42,148,397
43,105,423
44,95,472
45,310,462
46,37,327
47,254,72
48,265,52
49,178,77
50,214,341
51,225,324
52,305,192
53,333,291
54,362,278
55,313,437
56,37,466
57,48,440
58,498,72
59,501,142
60,307,488
61,204,113
62,108,161
63,65,248
64,165,487
65,233,426
66,263,467
67,355,301
68,177,109
69,434,441
