 ,X,Y
1,90,201
2,148,274
3,140,312
4,300,486
5,435,411
6,310,333
7,63,352
8,86,230
9,128,247
10,160,225
11,208,208
12,367,245
13,375,259
14,324,223
15,424,351
16,174,455
17,195,468
18,208,493
19,240,493
20,245,445
21,192,403
22,181,397
23,145,374
24,151,347
25,64,269
26,18,221
27,171,77
28,364,127
29,367,203
30,338,190
31,247,157
32,245,147
33,241,123
34,110,23
35,274,356
36,293,403
37,335,400
38,168,294
39,174,274
40,204,310
41,65,19
42,368,364
43,214,364
