 ,X,Y
1,235,244
2,228,260
3,237,375
4,132,336
5,66,283
6,37,245
7,145,172
8,180,150
9,136,96
10,260,197
11,430,220
12,466,170
13,300,422
14,219,434
15,178,419
16,40,437
17,20,456
18,58,362
19,52,350
20,222,487
21,182,486
22,261,455
23,292,458
24,272,430
25,383,386
26,414,344
27,449,294
28,476,387
29,494,438
30,500,300
31,168,260
32,220,221
33,327,290
34,262,292
35,320,495
36,325,436
37,68,440
38,370,250
39,143,316
40,242,354
41,219,356
42,264,114
43,74,348
44,486,419
45,456,433
46,262,507
47,197,315
48,134,134
