 ,X,Y
1,321,123
2,239,199
3,262,247
4,199,298
5,194,309
6,160,353
7,189,385
8,198,431
9,101,396
10,37,402
11,21,335
12,120,165
13,138,155
14,158,132
15,366,34
16,362,48
17,358,73
18,396,121
19,409,102
20,421,81
21,427,51
22,453,76
23,399,197
24,423,243
25,282,86
26,269,128
27,188,109
28,239,378
29,268,464
30,272,448
31,363,445
32,427,445
33,456,441
34,401,443
35,326,414
36,109,334
37,114,462
38,62,468
39,82,452
40,91,480
41,146,493
42,286,196
43,286,168
44,305,212
45,261,306
46,278,298
47,364,317
48,205,180
49,365,198
50,27,208
51,484,194
52,148,80
53,133,107
