 ,X,Y
1,116,246
2,126,204
3,85,230
4,98,197
5,196,187
6,245,156
7,250,163
8,285,194
9,293,210
10,288,264
11,294,281
12,174,271
13,182,301
14,152,281
15,122,328
16,124,356
17,154,362
18,68,367
19,45,297
20,29,194
21,4,202
22,353,105
23,434,86
24,394,202
25,368,261
26,390,274
27,384,371
28,417,379
29,234,440
30,224,399
31,242,385
32,65,432
33,38,421
34,42,408
35,332,294
36,171,142
37,295,405
38,464,245
39,364,83
40,181,350
41,258,308
42,433,327
43,409,413
44,312,456
45,449,362
46,402,249
47,154,392
48,212,489
49,276,441
50,235,365
