 ,X,Y
1,304,236
2,344,222
3,386,210
4,440,187
5,447,79
6,490,58
7,327,198
8,195,183
9,228,337
10,187,334
11,192,349
12,108,434
13,455,477
14,470,494
15,479,484
16,370,387
17,366,339
18,377,358
19,422,362
20,446,371
21,490,380
22,469,385
23,469,331
24,462,347
25,428,342
26,433,327
27,466,310
28,492,327
29,333,317
30,152,298
31,172,305
32,69,306
33,63,291
34,126,193
35,356,76
36,376,75
37,498,197
38,457,230
39,312,381
40,300,371
41,222,429
42,196,423
43,166,483
44,188,496
45,12,470
46,215,464
47,347,262
48,464,280
49,464,157
50,478,149
51,374,320
52,204,246
53,288,509
54,487,462
55,494,497
56,373,297
57,332,139
58,315,112
59,108,316
60,172,271
61,109,282
62,361,507
63,371,427
64,20,240
65,296,148
66,305,173
67,75,381
68,401,121
