 ,X,Y
1,81,120
2,146,118
3,181,109
4,205,89
5,236,66
6,276,32
7,297,25
8,257,50
9,244,104
10,218,115
11,261,135
12,288,155
13,309,153
14,338,142
15,369,140
16,400,135
17,452,88
18,485,102
19,503,95
20,488,29
21,398,16
22,441,18
23,444,38
24,425,26
25,340,7
26,105,70
27,95,73
28,76,30
29,55,153
30,60,167
31,77,161
32,82,217
33,78,234
34,74,249
35,53,263
36,36,263
37,9,264
38,35,284
39,76,353
40,86,391
41,96,424
42,15,442
43,32,462
44,211,447
45,287,434
46,391,421
47,393,431
48,357,436
49,282,371
50,264,359
51,235,392
52,194,377
53,185,367
54,147,291
55,191,240
56,236,241
57,278,194
58,184,182
59,172,205
60,164,227
61,343,196
62,365,178
63,381,175
64,403,195
65,403,219
66,373,219
67,366,241
68,357,255
69,351,405
70,361,404
71,299,451
72,295,464
73,381,490
74,388,391
75,436,155
76,322,171
77,163,56
78,147,55
79,155,29
80,194,60
81,225,7
82,172,90
83,111,222
84,98,221
85,87,263
86,99,304
87,12,338
88,49,330
89,135,471
90,122,458
91,140,445
92,155,437
93,140,506
94,74,471
95,222,348
96,271,230
97,116,51
98,316,341
99,404,509
100,57,85
101,467,301
