 ,X,Y
1,359,256
2,355,247
3,353,222
4,393,280
5,421,288
6,436,400
7,381,378
8,388,334
9,486,343
10,348,410
11,283,458
12,279,458
13,126,462
14,50,504
15,36,503
16,22,506
17,68,331
18,98,344
19,154,304
20,146,257
21,201,231
22,188,199
23,184,190
24,70,128
25,148,32
26,269,140
27,380,159
28,448,156
29,397,470
30,358,490
31,331,499
32,330,491
33,293,490
34,298,446
35,287,309
36,380,92
37,413,117
38,492,70
39,192,316
40,240,334
41,248,295
42,259,191
43,99,422
44,114,403
45,88,410
46,130,408
47,348,315
48,428,376
49,466,409
50,254,472
51,243,71
52,266,47
53,277,281
54,177,119
