 ,X,Y
1,242,350
2,261,341
3,350,325
4,240,224
5,246,214
6,216,221
7,222,240
8,210,272
9,198,260
10,166,268
11,146,240
12,130,206
13,46,195
14,63,175
15,80,156
16,70,88
17,145,138
18,174,66
19,220,108
20,285,52
21,310,75
22,308,138
23,320,131
24,312,162
25,148,189
26,189,323
27,199,355
28,187,392
29,154,405
30,103,342
31,271,387
32,455,345
33,450,324
34,436,240
35,478,226
36,487,205
37,471,172
38,325,300
39,426,482
40,368,417
41,306,407
42,362,368
43,412,72
44,357,46
45,481,96
46,32,451
47,270,474
48,16,48
49,12,32
50,51,226
51,141,458
52,194,496
53,220,470
54,136,333
55,190,243
56,212,195
57,330,390
58,303,386
59,298,365
60,103,327
61,331,260
62,364,254
63,505,337
