 ,X,Y
1,180,239
2,161,257
3,152,277
4,161,303
5,192,359
6,237,338
7,225,317
8,197,320
9,230,236
10,216,221
11,251,213
12,299,220
13,423,225
14,467,215
15,463,164
16,446,325
17,461,273
18,36,187
19,89,157
20,90,112
21,176,74
22,222,55
23,236,94
24,241,194
25,140,318
26,98,363
27,45,443
28,8,457
29,22,463
30,374,395
31,387,338
32,294,344
33,261,351
34,147,240
35,377,194
36,147,41
37,93,41
38,159,369
39,264,289
40,291,468
41,346,356
42,419,386
43,495,324
44,462,305
45,407,274
46,357,279
47,344,301
48,380,296
49,265,190
50,208,207
51,401,64
52,403,49
53,390,24
54,431,40
55,427,52
56,463,56
57,10,253
58,86,208
59,289,400
60,284,380
61,272,397
62,47,387
63,70,412
64,67,341
65,333,252
66,90,134
67,500,452
68,493,454
69,405,494
70,165,440
71,180,438
72,100,320
