 ,X,Y
1,144,72
2,109,109
3,170,153
4,203,188
5,121,198
6,118,247
7,73,238
8,80,221
9,339,347
10,250,298
11,239,247
12,224,251
13,266,171
14,299,170
15,363,252
16,408,367
17,434,385
18,464,414
19,473,434
20,392,489
21,308,505
22,271,480
23,249,432
24,217,435
25,59,270
26,41,236
27,45,202
28,8,223
29,8,264
30,400,136
31,400,73
32,419,14
33,376,65
34,317,64
35,263,92
36,204,78
37,176,20
38,234,31
39,229,12
40,200,223
41,190,233
42,455,327
43,440,298
44,423,472
45,420,427
46,507,109
47,153,13
48,289,438
49,311,426
50,424,277
51,462,252
52,438,222
53,473,213
54,56,109
55,60,144
56,180,146
57,176,128
58,171,111
59,75,80
60,118,53
61,423,73
