 ,X,Y
1,311,164
2,361,149
3,431,226
4,418,270
5,402,294
6,301,248
7,242,257
8,242,225
9,212,208
10,194,163
11,242,147
12,95,185
13,103,197
14,32,283
15,63,300
16,28,406
17,111,397
18,158,411
19,128,301
20,193,462
21,219,447
22,283,346
23,374,424
24,413,445
25,423,386
26,477,396
27,501,272
28,498,250
29,494,229
30,486,314
31,509,387
32,432,496
33,360,458
34,373,68
35,70,146
36,216,282
37,146,282
38,285,311
39,208,345
40,109,477
41,79,486
42,443,491
43,415,117
44,440,129
45,451,251
